ClosePrice,HighPrice,LowPrice,OpenPrice,TradeCount,Symbol,Timestamp,Volume,VWAP
26.37,26.38,26.34,26.36,65,AAPL,2016-01-01T00:00:00Z,46584,26.357518
25.75,26.36,25.75,26.36,418,AAPL,2016-01-04T06:00:00Z,343344,25.902346
26.2,26.22,25.5,25.75,213938,AAPL,2016-01-04T12:00:00Z,137606672,25.815909
26.44,26.44,25.96,26.2,136873,AAPL,2016-01-04T18:00:00Z,149553364,26.213155
26.44,26.45,26.42,26.44,88,AAPL,2016-01-05T00:00:00Z,95620,26.436887
26.26,26.37,26.23,26.37,53,AAPL,2016-01-05T06:00:00Z,22256,26.288267
25.76,26.46,25.6,26.26,184787,AAPL,2016-01-05T12:00:00Z,120751100,25.951697
25.6,25.94,25.53,25.76,136186,AAPL,2016-01-05T18:00:00Z,113362288,25.742772
25.56,25.6,25.56,25.6,229,AAPL,2016-01-06T00:00:00Z,164212,25.568555
25.06,25.56,24.92,25.56,854,AAPL,2016-01-06T06:00:00Z,594088,25.06651
25.09,25.59,25.01,25.06,224552,AAPL,2016-01-06T12:00:00Z,152916732,25.310998
25.22,25.24,24.97,25.09,183449,AAPL,2016-01-06T18:00:00Z,130601004,25.094868
25.24,25.24,25.21,25.22,101,AAPL,2016-01-07T00:00:00Z,91456,25.229543
24.34,25.15,24.0,24.0,1030,AAPL,2016-01-07T06:00:00Z,903176,24.364098
24.55,25.03,24.33,24.35,231726,AAPL,2016-01-07T12:00:00Z,159237080,24.744693
23.93,24.56,23.9,24.54,229330,AAPL,2016-01-07T18:00:00Z,183407104,24.294303
23.9,23.94,23.85,23.93,669,AAPL,2016-01-08T00:00:00Z,411216,23.898796
24.29,24.39,24.16,24.17,530,AAPL,2016-01-08T06:00:00Z,549368,24.275563
24.62,24.78,24.19,24.29,265299,AAPL,2016-01-08T12:00:00Z,182306748,24.525311
24.25,24.74,24.23,24.62,153675,AAPL,2016-01-08T18:00:00Z,117389516,24.395535
24.5,24.5,24.3,24.41,274,AAPL,2016-01-11T06:00:00Z,161920,24.421842
24.5,24.79,24.34,24.48,155740,AAPL,2016-01-11T12:00:00Z,107301160,24.521319
24.68,24.71,24.38,24.51,135870,AAPL,2016-01-11T18:00:00Z,101593584,24.561719
24.69,24.69,24.66,24.68,98,AAPL,2016-01-12T00:00:00Z,95204,24.681382
25.07,25.18,24.56,24.56,677,AAPL,2016-01-12T06:00:00Z,790968,25.008903
24.81,25.17,24.76,25.05,168195,AAPL,2016-01-12T12:00:00Z,114930100,24.966694
24.98,25.06,24.71,24.8,113700,AAPL,2016-01-12T18:00:00Z,91118296,24.912747
25.07,25.08,24.99,24.99,126,AAPL,2016-01-13T00:00:00Z,128980,25.032782
25.12,25.25,25.1,25.24,192,AAPL,2016-01-13T06:00:00Z,167704,25.181103
25.03,25.3,24.96,25.14,178008,AAPL,2016-01-13T12:00:00Z,124675300,25.089611
24.36,25.05,24.33,25.03,183533,AAPL,2016-01-13T18:00:00Z,132067664,24.585338
24.33,24.36,24.32,24.36,167,AAPL,2016-01-14T00:00:00Z,138460,24.332883
24.22,24.4,24.18,24.39,266,AAPL,2016-01-14T06:00:00Z,163316,24.280819
24.63,24.68,23.94,24.23,208175,AAPL,2016-01-14T12:00:00Z,141125600,24.310445
24.69,25.12,24.59,24.63,154073,AAPL,2016-01-14T18:00:00Z,121508304,24.904287
24.81,24.83,24.66,24.66,174,AAPL,2016-01-15T00:00:00Z,238280,24.747088
24.29,24.59,24.24,24.59,280,AAPL,2016-01-15T06:00:00Z,251736,24.304331
24.14,24.45,23.84,24.33,261252,AAPL,2016-01-15T12:00:00Z,180299276,24.088135
24.29,24.43,24.11,24.14,185114,AAPL,2016-01-15T18:00:00Z,164252056,24.273278
24.76,24.81,24.47,24.47,186,AAPL,2016-01-19T06:00:00Z,199104,24.761701
24.15,24.78,24.04,24.72,163449,AAPL,2016-01-19T12:00:00Z,111623892,24.335361
24.15,24.25,23.88,24.15,127469,AAPL,2016-01-19T18:00:00Z,109227944,24.107182
24.13,24.15,24.08,24.15,76,AAPL,2016-01-20T00:00:00Z,65268,24.127837
23.65,23.88,23.42,23.88,446,AAPL,2016-01-20T06:00:00Z,322888,23.616599
23.64,23.89,23.36,23.67,241753,AAPL,2016-01-20T12:00:00Z,154202232,23.5811
